Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total_Conexiones,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Accesos por cada 100 hogares
2022,1,Formosa,54548,0,54548,97000000,448000000,24113,6945000,6613000,716000000,15028,588000000,34.96
2022,1,Jujuy,116509,0,116509,58000000,1761000,22141,16321000,37923000,576000000,35287,2442000,58.06
2022,1,La Pampa,109560,172,109732,301000000,2223000,62812,9869000,12044000,5250000,14400,2833000,91.66
2022,1,La Rioja,84299,4,84303,18000000,778000000,3576,4692000,23624000,5645000,45970,0,78.77
2022,1,Mendoza,274399,786,275185,114000000,3355000,51230,26407000,74178000,21566000,95048,3287000,48.74
2022,1,Misiones,171508,0,171508,51000000,3873000,35655,22261000,26855000,15854000,58610,8349000,49.04
2022,1,Neuquén,149208,471,149679,137000000,1123000,39856,15623000,11163000,2654000,71238,7885000,74.17
2022,1,Río Negro,156821,553,157374,116000000,1383000,35565,18859000,26926000,14144000,37729,22652000,67.04
2022,1,Salta,197510,5,197515,114000000,1725000,35576,68246000,6313000,2214000,76838,6489000,56.11
2022,1,San Juan,87888,290,88178,26000000,2269000,32356,11914000,25144000,2088000,11916,2465000,43.55
2022,1,San Luis,119659,185,119844,61000000,643000000,8287,3837000,9802000,68612000,13,28589000,80.72
2022,1,Santa Cruz,48898,204,49102,51000000,6898000,12710,11502000,12277000,2628000,2551,485000000,43.34
2022,1,Santa Fe,870364,115,870479,468000000,12435000,143796,208361000,84787000,58018000,344170,18444000,77.3
2022,1,Santiago Del Estero,116459,2,116461,178000000,1401000,30220,61170000,13542000,849000000,8309,792000000,47.17
2022,1,Tierra Del Fuego,52298,313,52611,24000000,894000000,12849,15640000,18034000,1767000,982,2421000,98.29
2022,1,Tucumán,245554,30,245584,39000000,2212000,36028,46961000,21014000,5211000,133846,273000000,57.39
2021,4,Buenos Aires,4502772,6385,4509157,37821000,11026000,352950,331292000,297296000,196021000,3259793,22958000,75.66
2021,4,Capital Federal,1409935,2184,1412119,563000000,1695000,47133,81899000,66135000,66755000,1147939,0,111.27
2021,4,Catamarca,59089,1,59090,71000000,0,6038,7855000,9804000,3262000,29827,2233000,55.25
2021,4,Chaco,143740,5,143745,461000000,112000000,18845,22678000,21937000,13692000,58435,7585000,44.05
2021,4,Chubut,159364,944,160308,126000000,1294000,63698,39568000,31175000,5780000,2904,15763000,82.57
2021,4,Córdoba,986693,77,986770,100000000,2479000,184548,130892000,76246000,41198000,538700,12607000,84.51
2021,4,Corrientes,135908,4,135912,67000000,645000000,28830,26368000,22922000,10087000,39911,7082000,45.51
2021,4,Entre Ríos,265024,22,265046,107000000,3024000,56043,49636000,38295000,24068000,77290,16583000,63.16
2021,4,Formosa,53663,0,53663,84000000,0,22908,6983000,6811000,1135000,13775,1967000,34.45
2021,4,Jujuy,113915,0,113915,58000000,175000000,22446,16793000,38134000,564000000,33421,2324000,56.92
2021,4,La Pampa,106834,173,107007,301000000,493000000,64840,9082000,12259000,4821000,12184,3027000,89.57
2021,4,La Rioja,83124,4,83128,18000000,1000000,5018,5437000,23559000,5671000,43424,0,77.92
2021,4,Mendoza,266783,804,267587,156000000,1463000,66428,30308000,75214000,18621000,75031,366000000,47.51
2021,4,Misiones,171132,0,171132,51000000,5000000,41916,23554000,26721000,15954000,54596,8335000,49.06
2021,4,Neuquén,146989,477,147466,140000000,940000000,42313,13264000,10515000,3310000,69217,7767000,73.3
2021,4,Río Negro,153189,564,153753,156000000,1174000,38373,19878000,31255000,4130000,36142,22645000,65.69
2021,4,Salta,199399,6,199405,114000000,20000000,40673,69324000,6642000,3535000,72622,6475000,56.81
